date,precipitation_mm,temp_max,temp_min,temp_mean,humidity_mean,is_rainy
2016-05-29,0.0,26.1,19.0,22.349999999999998,80.70833333333333,0
2016-05-30,0.0,32.4,18.4,23.858333333333334,77.125,0
2016-05-31,0.2,29.6,19.3,24.208333333333332,79.375,1
2016-06-01,0.8,31.7,19.7,23.866666666666664,81.16666666666667,1
2016-06-02,0.2,29.5,20.2,24.229166666666668,81.29166666666667,1
2016-06-03,0.0,27.2,21.5,24.212500000000002,77.625,0
2016-06-04,0.2,28.7,22.3,24.854166666666668,84.79166666666667,1
2016-06-05,0.0,31.1,21.7,25.620833333333334,78.45833333333333,0
2016-06-06,0.0,33.1,22.6,26.3,78.91666666666667,0
2016-06-07,0.0,27.6,21.5,24.045833333333334,83.58333333333333,0
2016-06-08,0.0,25.1,21.7,23.037499999999998,75.16666666666667,0
2016-06-09,6.8,21.8,18.7,20.0,81.375,1
2016-06-10,0.0,24.3,19.3,20.995833333333334,66.04166666666667,0
2016-06-11,0.2,22.9,19.3,20.587500000000002,70.875,1
2016-06-12,0.6000000000000001,20.6,17.7,19.408333333333335,65.45833333333333,1
2016-06-13,0.0,23.1,17.2,19.595833333333335,59.458333333333336,0
2016-06-14,0.0,25.9,18.4,20.974999999999998,59.791666666666664,0
2016-06-15,0.0,25.1,14.2,19.091666666666665,75.83333333333333,0
2016-06-16,0.0,25.3,14.2,19.150000000000002,76.41666666666667,0
2016-06-17,0.2,26.3,15.3,19.966666666666665,76.66666666666667,1
2016-06-18,0.2,30.2,14.3,20.666666666666668,73.91666666666667,1
2016-06-19,0.0,25.9,15.8,20.154166666666665,84.04166666666667,0
2016-06-20,0.0,25.4,18.4,21.691666666666666,86.125,0
2016-06-21,1.2,24.9,19.9,21.516666666666666,81.875,1
2016-06-22,44.4,21.7,19.0,20.287499999999998,92.125,1
2016-06-23,0.2,27.3,17.4,21.379166666666666,85.04166666666667,1
2016-06-24,0.0,25.5,19.3,21.891666666666666,80.95833333333333,0
2016-06-25,4.3999999999999995,23.4,19.5,20.795833333333334,83.83333333333333,1
2016-06-26,7.4,23.1,16.1,19.641666666666666,88.70833333333333,1
2016-06-27,9.6,21.5,17.8,19.770833333333332,94.5,1
2016-06-28,11.2,24.8,19.3,21.325,84.625,1
2016-06-29,2.0,25.4,17.2,20.599999999999998,91.25,1
2016-06-30,0.2,25.1,19.9,22.02916666666667,89.41666666666667,1
2016-07-01,21.2,26.0,19.4,22.72083333333333,87.0,1
2016-07-02,0.0,25.5,19.1,22.245833333333334,87.5,0
2016-07-03,0.2,25.1,18.3,21.645833333333332,87.29166666666667,1
2016-07-04,7.800000000000001,25.7,19.8,21.945833333333336,87.04166666666667,1
2016-07-05,0.2,27.0,18.1,21.958333333333332,83.45833333333333,1
2016-07-06,2.0,28.3,19.0,22.570833333333336,82.20833333333333,1
2016-07-07,0.0,28.8,19.2,23.241666666666664,75.41666666666667,0
2016-07-08,0.0,24.9,20.2,21.833333333333332,66.875,0
2016-07-09,0.0,24.5,18.1,21.150000000000002,66.91666666666667,0
2016-07-10,0.0,28.9,15.2,20.670833333333334,75.58333333333333,0
2016-07-11,0.2,29.5,16.1,22.070833333333336,74.29166666666667,1
2016-07-12,0.0,30.9,16.6,23.175,64.20833333333333,0
2016-07-13,0.0,31.7,15.3,21.90416666666667,74.625,0
2016-07-14,0.2,28.5,16.6,21.97083333333333,79.04166666666667,1
2016-07-15,0.0,32.5,17.8,24.333333333333332,72.0,0
2016-07-16,0.2,32.9,18.0,24.420833333333334,73.54166666666667,1
2016-07-17,0.0,25.2,20.1,22.162499999999998,76.33333333333333,0
2016-07-18,0.2,20.8,18.7,19.870833333333334,75.25,1
2016-07-19,0.0,23.5,17.8,20.579166666666666,67.0,0
2016-07-20,0.0,26.5,19.6,22.212500000000002,74.375,0
2016-07-21,1.4,25.4,20.2,21.96666666666667,74.20833333333333,1
2016-07-22,0.2,25.2,18.6,21.170833333333334,78.04166666666667,1
2016-07-23,8.8,21.9,17.6,19.925,92.20833333333333,1
2016-07-24,0.8,25.3,18.5,21.537499999999998,84.45833333333333,1
2016-07-25,0.0,28.8,17.7,22.695833333333336,80.45833333333333,0
2016-07-26,0.2,27.6,17.3,21.641666666666666,80.54166666666667,1
